(7, 2, 1, 10, [0.17, 0.05, 0.02, 5.74E-3, 2.53E-3, 8.29E-3, 5.67E-3, 5.02E-3, 1.50E-4, 6.06E-4])
(11, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 6.08E-3, 1.93E-3, 8.35E-4, 3.00E-3, 5.00E-3, 7.15E-3])
(13, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 5.54E-3, 1.29E-3, 1.61E-3, 3.95E-3, 1.16E-3, 3.82E-3])
(17, 2, 1, 10, [4.59E-4, 0.06, 3.82E-4, 0.02, 4.82E-4, 4.64E-3, 6.96E-4, 1.09E-3, 1.09E-3, 6.02E-4])
(19, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.32E-3, 4.60E-3, 2.41E-3, 1.03E-3, 6.80E-5, 6.95E-4])
(23, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.55E-3, 4.87E-3, 2.74E-3, 1.44E-3, 5.80E-4, 4.32E-5])
(29, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.56E-3, 4.87E-3, 2.75E-3, 1.44E-3, 5.88E-4, 3.37E-5])
(31, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.72E-3, 5.07E-3, 2.99E-3, 1.75E-3, 9.66E-4, 4.48E-4])
(37, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.70E-3, 5.05E-3, 2.96E-3, 1.71E-3, 9.22E-4, 3.92E-4])
(41, 2, 1, 10, [3.15E-5, 0.06, 2.63E-5, 0.02, 3.31E-5, 5.17E-3, 4.79E-5, 1.89E-3, 7.47E-5, 6.86E-4])
(43, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.80E-3, 5.16E-3, 3.09E-3, 1.88E-3, 1.13E-3, 6.58E-4])
(47, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.81E-3, 5.17E-3, 3.11E-3, 1.89E-3, 1.15E-3, 6.87E-4])
(53, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.79E-3, 5.15E-3, 3.09E-3, 1.87E-3, 1.12E-3, 6.50E-4])
(59, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.82E-3, 5.19E-3, 3.13E-3, 1.92E-3, 1.19E-3, 7.34E-4])
(61, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.81E-3, 5.17E-3, 3.11E-3, 1.90E-3, 1.16E-3, 6.95E-4])
(67, 2, 1, 10, [0.18, 0.06, 0.03, 0.02, 8.83E-3, 5.19E-3, 3.14E-3, 1.93E-3, 1.20E-3, 7.49E-4])
