(7, 2, 1, 15, [0.17, 0.05, 0.02, 5.74E-3, 2.53E-3, 8.29E-3, 5.67E-3, 5.02E-3, 1.50E-4, 6.06E-4, 7.32E-3, 5.98E-4, 7.36E-3, 1.36E-3, 7.41E-3])
(11, 2, 1, 15, [0.17, 0.06, 0.03, 0.01, 6.08E-3, 1.93E-3, 8.35E-4, 3.00E-3, 5.00E-3, 7.15E-3, 1.66E-3, 1.43E-3, 9.00E-4, 1.88E-3, 3.65E-4])
(13, 2, 1, 15, [0.17, 0.06, 0.03, 0.01, 5.54E-3, 1.29E-3, 1.61E-3, 3.95E-3, 1.16E-3, 3.82E-3, 3.86E-4, 3.73E-3, 2.54E-3, 1.55E-4, 1.03E-3])
(17, 2, 1, 15, [4.59E-4, 0.06, 3.82E-4, 0.02, 4.82E-4, 4.64E-3, 6.96E-4, 1.09E-3, 1.09E-3, 6.02E-4, 1.23E-3, 1.98E-3, 2.09E-3, 3.81E-3, 3.05E-4])
(19, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.32E-3, 4.60E-3, 2.41E-3, 1.03E-3, 6.80E-5, 6.95E-4, 1.40E-3, 2.14E-3, 1.30E-3, 7.33E-4, 3.36E-3])
(23, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.55E-3, 4.87E-3, 2.74E-3, 1.44E-3, 5.80E-4, 4.32E-5, 5.58E-4, 2.53E-4, 1.18E-4, 1.10E-3, 1.18E-3])
(29, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.56E-3, 4.87E-3, 2.75E-3, 1.44E-3, 5.88E-4, 3.37E-5, 5.46E-4, 9.20E-4, 9.88E-4, 6.00E-4, 8.84E-4])
(31, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.72E-3, 5.07E-3, 2.99E-3, 1.75E-3, 9.66E-4, 4.48E-4, 7.42E-5, 2.29E-4, 1.19E-3, 1.42E-3, 6.78E-4])
(37, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.70E-3, 5.05E-3, 2.96E-3, 1.71E-3, 9.22E-4, 3.92E-4, 1.47E-6, 3.24E-4, 1.91E-3, 2.93E-3, 1.57E-3])
(41, 2, 1, 15, [3.15E-5, 0.06, 2.63E-5, 0.02, 3.31E-5, 5.17E-3, 4.79E-5, 1.89E-3, 7.47E-5, 6.86E-4, 1.22E-4, 1.67E-4, 2.07E-4, 1.32E-4, 1.93E-4])
