(7, 2, 1, 15, [0.12, 0.02, 0.02, 0.03, 2.65E-3, 1.56E-3, 7.89E-3, 0.01, 0.01, 2.89E-3, 5.78E-3, 0.01, 4.95E-3, 0.01, 3.64E-3])
(11, 2, 1, 15, [0.01, 0.05, 8.84E-3, 5.94E-3, 0.01, 8.02E-3, 2.84E-3, 0.02, 0.01, 1.61E-3, 1.05E-3, 2.22E-3, 5.88E-3, 8.32E-3, 8.01E-4])
(13, 2, 1, 15, [0.15, 0.04, 7.37E-3, 8.59E-3, 0.02, 7.03E-3, 7.10E-3, 4.98E-3, 7.55E-3, 4.18E-3, 2.13E-3, 3.73E-3, 3.93E-4, 6.51E-3, 4.63E-3])
(17, 2, 1, 15, [6.63E-3, 0.06, 5.52E-3, 0.01, 6.96E-3, 3.06E-3, 0.01, 0.01, 0.02, 4.23E-3, 4.43E-3, 0.01, 4.93E-3, 2.43E-3, 4.71E-3])
(19, 2, 1, 15, [0.34, 0.17, 0.10, 0.06, 0.03, 0.01, 4.74E-3, 6.51E-5, 1.23E-4, 8.41E-3, 0.02, 0.02, 0.02, 0.02, 0.01])
(23, 2, 1, 15, [0.16, 0.05, 0.02, 2.41E-3, 6.35E-3, 0.01, 0.01, 5.98E-3, 6.26E-3, 8.46E-3, 9.38E-3, 4.03E-3, 4.29E-3, 2.42E-3, 2.24E-3])
(29, 2, 1, 15, [0.17, 0.05, 0.02, 5.25E-3, 3.09E-3, 8.97E-3, 0.01, 0.01, 3.59E-3, 5.57E-3, 0.01, 0.01, 6.36E-3, 4.86E-3, 9.83E-4])
(31, 2, 1, 15, [0.17, 0.05, 0.02, 5.94E-3, 2.30E-3, 8.02E-3, 3.16E-4, 5.43E-3, 8.03E-3, 6.30E-3, 6.08E-3, 3.84E-4, 2.69E-3, 7.21E-3, 5.37E-3])
(37, 2, 1, 15, [0.17, 0.06, 0.02, 7.55E-3, 4.42E-4, 5.82E-3, 8.68E-3, 0.01, 4.85E-3, 2.43E-3, 8.66E-3, 6.35E-3, 8.08E-3, 0.01, 5.27E-3])
(41, 2, 1, 15, [2.65E-3, 0.06, 2.21E-3, 0.01, 2.78E-3, 1.90E-3, 4.02E-3, 3.04E-3, 8.45E-3, 7.21E-3, 1.24E-3, 1.29E-3, 3.38E-3, 2.63E-3, 5.74E-3])
(43, 2, 1, 15, [7.58E-3, 0.06, 6.31E-3, 8.71E-3, 0.01, 4.24E-3, 7.44E-3, 8.40E-3, 7.54E-4, 8.00E-3, 5.27E-3, 1.95E-3, 2.98E-3, 1.27E-3, 5.72E-4])
(47, 2, 1, 15, [0.17, 0.06, 0.02, 9.31E-3, 1.58E-3, 3.42E-3, 7.34E-3, 6.54E-4, 4.49E-3, 1.33E-3, 6.23E-3, 5.16E-3, 6.52E-3, 1.73E-3, 1.68E-3])
(53, 2, 1, 15, [0.17, 0.06, 0.02, 0.01, 2.41E-3, 2.42E-3, 6.13E-3, 1.75E-3, 8.83E-3, 7.33E-3, 5.90E-3, 4.72E-3, 5.09E-3, 6.55E-3, 3.57E-3])
(59, 2, 1, 15, [1.83E-3, 0.06, 1.52E-3, 0.01, 1.92E-3, 2.93E-3, 2.78E-3, 1.49E-3, 3.04E-3, 4.58E-5, 4.08E-3, 8.97E-4, 3.08E-3, 2.79E-3, 3.13E-3])
(61, 2, 1, 15, [0.17, 0.06, 0.03, 0.01, 3.27E-3, 1.41E-3, 4.89E-3, 4.12E-3, 1.51E-3, 4.14E-4, 9.79E-4, 4.91E-3, 4.50E-3, 1.86E-4, 1.52E-4])
