(7, 2, 1, 15, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(11, 2, 1, 15, [0.14, 0.05, 0.00, 0.03, 0.03, 0.02, 0.00, 0.01, 0.02, 0.01, 0.00, 8.33E-3, 0.01, 7.14E-3, 0.00])
(13, 2, 1, 15, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(17, 2, 1, 15, [0.13, 0.05, 0.07, 0.01, 0.03, 0.03, 7.10E-3, 0.03, 0.01, 0.01, 0.02, 2.44E-4, 0.02, 9.31E-3, 6.42E-3])
(19, 2, 1, 15, [0.00, 0.08, 0.00, 0.04, 0.00, 0.03, 0.00, 0.02, 0.00, 0.02, 0.00, 0.01, 0.00, 0.01, 0.00])
(23, 2, 1, 15, [0.03, 0.06, 0.03, 8.52E-3, 0.03, 1.89E-3, 0.03, 4.62E-3, 0.02, 8.38E-3, 3.93E-3, 0.01, 1.51E-3, 0.01, 3.11E-3])
(29, 2, 1, 15, [0.08, 0.00, 0.06, 0.04, 0.03, 0.03, 1.35E-3, 0.01, 0.03, 2.68E-3, 0.02, 4.19E-3, 9.11E-5, 0.02, 0.01])
(31, 2, 1, 15, [0.07, 0.03, 0.00, 0.02, 0.03, 8.33E-3, 0.03, 5.47E-3, 0.01, 3.44E-3, 5.02E-3, 8.85E-3, 6.88E-3, 0.02, 0.00])
(37, 2, 1, 15, [0.00, 0.08, 0.00, 0.04, 0.00, 0.03, 0.00, 0.02, 0.00, 0.02, 0.00, 0.01, 0.00, 0.01, 0.00])
(41, 2, 1, 15, [0.05, 0.02, 0.04, 0.06, 0.06, 1.56E-3, 4.74E-3, 0.03, 7.73E-3, 9.14E-3, 0.01, 6.54E-3, 1.34E-3, 0.02, 0.02])
(43, 2, 1, 15, [0.10, 0.00, 0.03, 0.05, 0.00, 0.04, 0.01, 0.00, 0.01, 0.02, 0.00, 0.02, 7.77E-3, 0.00, 6.73E-3])
(47, 2, 1, 15, [0.11, 5.43E-3, 0.03, 0.02, 0.03, 0.02, 0.03, 0.02, 9.29E-3, 0.02, 5.68E-4, 1.10E-3, 1.72E-3, 9.35E-3, 5.06E-3])
(53, 2, 1, 15, [0.04, 0.03, 0.03, 0.02, 0.01, 0.01, 0.03, 7.21E-3, 0.02, 3.61E-4, 7.53E-3, 0.01, 6.33E-3, 4.12E-3, 8.18E-3])
(59, 2, 1, 15, [0.12, 0.02, 0.02, 0.03, 0.02, 7.18E-4, 0.03, 0.02, 1.02E-3, 5.28E-3, 3.32E-3, 5.97E-3, 0.01, 0.01, 4.93E-3])
(61, 2, 1, 15, [0.25, 0.10, 0.03, 0.02, 0.04, 0.04, 0.03, 1.56E-3, 0.02, 0.02, 0.02, 8.72E-3, 5.23E-3, 0.02, 0.02])
(67, 2, 1, 15, [0.13, 0.02, 0.01, 0.03, 6.43E-3, 0.01, 0.02, 0.01, 0.03, 0.01, 3.65E-4, 0.02, 0.01, 2.54E-3, 1.04E-3])
