(7, 3, 1, 10, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(11, 3, 1, 10, [0.04, 0.02, 0.02, 1.85E-3, 0.01, 5.35E-3, 7.13E-3, 7.61E-3, 1.64E-3, 6.94E-3])
(13, 3, 1, 10, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(17, 3, 1, 10, [0.00, 0.06, 0.00, 0.03, 0.00, 0.02, 0.00, 0.02, 0.00, 0.01])
(19, 3, 1, 10, [0.13, 0.02, 0.03, 0.03, 0.01, 8.92E-3, 0.02, 0.01, 1.94E-3, 0.01])
(23, 3, 1, 10, [0.10, 0.04, 0.01, 0.04, 0.02, 5.24E-3, 9.44E-3, 0.02, 7.92E-3, 2.14E-3])
(29, 3, 1, 10, [0.04, 0.02, 0.01, 7.94E-3, 0.03, 0.02, 0.01, 0.01, 3.00E-3, 1.35E-3])
(31, 3, 1, 10, [0.08, 0.07, 0.09, 0.04, 0.02, 0.03, 8.15E-3, 0.01, 6.23E-3, 0.01])
(37, 3, 1, 10, [0.06, 0.04, 0.04, 3.09E-3, 0.02, 8.92E-3, 0.01, 0.01, 2.73E-3, 0.01])
(41, 3, 1, 10, [0.06, 8.33E-3, 0.03, 0.02, 0.01, 0.01, 3.05E-3, 3.32E-3, 9.42E-3, 7.84E-3])
(43, 3, 1, 10, [0.06, 0.02, 0.02, 0.02, 8.55E-3, 0.03, 2.33E-3, 0.02, 7.17E-3, 1.35E-3])
(47, 3, 1, 10, [0.05, 0.02, 0.01, 0.02, 1.12E-3, 0.02, 0.01, 3.44E-3, 9.18E-4, 4.66E-3])
(53, 3, 1, 10, [0.07, 0.00, 0.04, 0.05, 0.01, 9.50E-4, 3.41E-3, 3.09E-3, 8.19E-3, 6.74E-3])
(59, 3, 1, 10, [0.04, 0.01, 0.02, 0.02, 9.29E-3, 0.02, 3.41E-3, 4.36E-3, 7.89E-3, 4.92E-3])
(61, 3, 1, 10, [0.08, 0.01, 0.04, 0.02, 1.71E-3, 0.02, 0.02, 4.94E-3, 0.01, 0.01])
(67, 3, 1, 10, [0.04, 5.05E-3, 3.89E-3, 0.03, 6.22E-3, 0.01, 1.11E-3, 4.72E-3, 8.98E-3, 0.01])
(7, 2, 1, 10, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(11, 2, 1, 10, [0.14, 0.05, 0.00, 0.03, 0.03, 0.02, 0.00, 0.01, 0.02, 0.01])
(13, 2, 1, 10, [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00])
(17, 2, 1, 10, [0.13, 0.05, 0.07, 0.01, 0.03, 0.03, 7.10E-3, 0.03, 0.01, 0.01])
(19, 2, 1, 10, [0.00, 0.08, 0.00, 0.04, 0.00, 0.03, 0.00, 0.02, 0.00, 0.02])
(23, 2, 1, 10, [0.03, 0.06, 0.03, 8.52E-3, 0.03, 1.89E-3, 0.03, 4.62E-3, 0.02, 8.38E-3])
(29, 2, 1, 10, [0.08, 0.00, 0.06, 0.04, 0.03, 0.03, 1.35E-3, 0.01, 0.03, 2.68E-3])
(31, 2, 1, 10, [0.07, 0.03, 0.00, 0.02, 0.03, 8.33E-3, 0.03, 5.47E-3, 0.01, 3.44E-3])
(37, 2, 1, 10, [0.00, 0.08, 0.00, 0.04, 0.00, 0.03, 0.00, 0.02, 0.00, 0.02])
(41, 2, 1, 10, [0.05, 0.02, 0.04, 0.06, 0.06, 1.56E-3, 4.74E-3, 0.03, 7.73E-3, 9.14E-3])
(43, 2, 1, 10, [0.10, 0.00, 0.03, 0.05, 0.00, 0.04, 0.01, 0.00, 0.01, 0.02])
(47, 2, 1, 10, [0.11, 5.43E-3, 0.03, 0.02, 0.03, 0.02, 0.03, 0.02, 9.29E-3, 0.02])
(53, 2, 1, 10, [0.04, 0.03, 0.03, 0.02, 0.01, 0.01, 0.03, 7.21E-3, 0.02, 3.61E-4])
(59, 2, 1, 10, [0.12, 0.02, 0.02, 0.03, 0.02, 7.18E-4, 0.03, 0.02, 1.02E-3, 5.28E-3])
(61, 2, 1, 10, [0.25, 0.10, 0.03, 0.02, 0.04, 0.04, 0.03, 1.56E-3, 0.02, 0.02])
(67, 2, 1, 10, [0.13, 0.02, 0.01, 0.03, 6.43E-3, 0.01, 0.02, 0.01, 0.03, 0.01])
(71, 2, 1, 10, [0.13, 0.03, 8.42E-3, 0.03, 0.04, 0.01, 0.02, 0.01, 0.02, 0.01])
(73, 2, 1, 10, [0.27, 0.11, 0.04, 2.60E-3, 0.02, 0.03, 0.04, 0.03, 3.07E-3, 0.02])
(79, 2, 1, 10, [0.14, 0.03, 4.53E-3, 0.02, 0.02, 0.03, 8.26E-3, 0.02, 0.01, 4.33E-3])
(83, 2, 1, 10, [0.14, 0.03, 2.87E-3, 0.02, 3.45E-3, 0.02, 0.02, 7.05E-3, 0.02, 0.02])
(89, 2, 1, 10, [0.02, 0.04, 0.02, 6.39E-3, 0.03, 6.39E-3, 0.02, 8.26E-3, 0.01, 0.01])
(97, 2, 1, 10, [0.29, 0.13, 0.06, 0.02, 1.10E-3, 4.56E-3, 0.01, 0.02, 0.02, 0.03])
(101, 2, 1, 10, [0.02, 0.05, 0.02, 3.75E-3, 0.02, 0.04, 5.68E-3, 8.91E-3, 6.04E-3, 2.44E-3])
(103, 2, 1, 10, [0.15, 0.04, 3.47E-3, 0.01, 0.03, 0.05, 0.03, 0.02, 0.01, 2.02E-3])
(107, 2, 1, 10, [0.15, 0.04, 4.45E-3, 0.01, 0.02, 0.01, 4.53E-3, 0.02, 1.11E-3, 0.02])
(109, 2, 1, 10, [0.06, 0.01, 0.01, 0.04, 8.84E-3, 0.02, 0.01, 7.38E-3, 0.01, 2.78E-3])
(113, 2, 1, 10, [0.02, 0.05, 0.02, 1.67E-3, 0.02, 0.01, 0.01, 0.02, 0.01, 4.60E-3])
(127, 2, 1, 10, [0.15, 0.04, 8.42E-3, 7.44E-3, 0.00, 5.46E-3, 0.02, 0.02, 5.26E-3, 0.01])
