(7, 2, 1, 15, [0.09, 0.03, 0.04, 7.81E-3, 0.02, 0.02, 4.74E-3, 0.02, 6.75E-3, 8.98E-3, 0.01, 1.63E-4, 0.01, 6.21E-3, 4.28E-3])
(11, 2, 1, 15, [0.00, 0.03, 0.00, 0.02, 0.00, 0.02, 0.00, 0.02, 0.00, 0.02, 0.00, 2.99E-3, 0.00, 0.01, 0.00])
(13, 2, 1, 15, [0.00, 0.00, 0.00, 8.93E-3, 0.00, 0.02, 0.00, 0.02, 0.00, 0.02, 0.00, 2.33E-3, 0.00, 4.19E-3, 0.00])
(17, 2, 1, 15, [0.04, 0.03, 0.04, 0.03, 6.63E-3, 0.01, 0.03, 0.02, 8.90E-3, 3.45E-3, 8.66E-3, 0.02, 3.13E-3, 7.48E-3, 6.74E-3])
(19, 2, 1, 15, [0.00, 0.03, 0.00, 0.02, 0.00, 0.02, 0.00, 5.73E-3, 0.00, 4.17E-4, 0.00, 6.16E-3, 0.00, 3.98E-3, 0.00])
(23, 2, 1, 15, [0.02, 0.04, 0.04, 6.39E-3, 0.01, 0.01, 0.01, 3.46E-3, 0.02, 3.16E-3, 8.97E-3, 5.64E-3, 1.55E-3, 0.01, 3.60E-3])
(29, 2, 1, 15, [0.00, 0.05, 0.00, 1.79E-3, 0.00, 0.01, 0.00, 8.59E-3, 0.00, 6.65E-3, 0.00, 0.01, 0.00, 9.49E-4, 0.00])
(31, 2, 1, 15, [0.01, 0.05, 0.05, 3.52E-3, 0.02, 9.11E-4, 7.50E-3, 4.39E-4, 9.30E-3, 7.95E-3, 0.01, 0.01, 5.15E-4, 3.03E-4, 2.18E-3])
(37, 2, 1, 15, [0.00, 0.06, 0.00, 7.13E-3, 0.00, 6.40E-3, 0.00, 7.88E-3, 0.00, 8.50E-4, 0.00, 4.79E-3, 0.00, 2.49E-3, 0.00])
(41, 2, 1, 15, [7.58E-3, 0.06, 6.31E-3, 8.71E-3, 7.95E-3, 4.24E-3, 0.01, 0.01, 4.16E-3, 8.00E-3, 3.77E-3, 0.01, 5.09E-3, 9.63E-4, 4.99E-3])
